booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_valid
B1383,P1996,AI010,2025-09-24 11:37:36.951,CANCELLED,8C,True
B1384,P1285,AI024,2025-05-16 11:37:36.951,CONFIRMED,11D,True
B1385,P1070,UK130,2025-06-08 11:37:36.951,CONFIRMED,30B,True
B1386,P1766,AI161,2026-03-12 11:37:36.951,CANCELLED,10A,True
B1387,P1453,SJ208,2025-07-23 11:37:36.951,PENDING,24F,True
B1390,P1834,SJ028,2026-03-09 11:37:36.951,CANCELLED,8C,True
B1391,P1396,SJ084,2025-11-26 11:37:36.951,CONFIRMED,21F,True
B1392,P1514,AI139,2026-03-27 11:37:36.951,CONFIRMED,21D,True
B1393,P1025,UK179,2026-04-06 11:37:36.951,PENDING,26E,True
B1394,P1312,6E256,2025-07-23 11:37:36.951,PENDING,23F,True
B1397,P1564,UK190,2026-02-05 11:37:36.951,CANCELLED,28D,True
B1398,P1197,6E224,2026-02-04 11:37:36.951,PENDING,3E,True
B1399,P1810,UK221,2025-05-31 11:37:36.951,PENDING,7A,True
B1400,P1187,SJ107,2026-04-02 11:37:36.951,CANCELLED,12F,True
B1402,P1816,UK183,2026-03-21 11:37:36.951,CANCELLED,7E,True
B1403,P1809,SJ203,2025-05-08 11:37:36.951,PENDING,26A,True
B1405,P1483,AI100,2025-08-26 11:37:36.951,PENDING,32F,True
B1406,P1449,6E140,2025-06-24 11:37:36.951,CONFIRMED,15D,True
B1407,P1522,UK048,2025-08-26 11:37:36.951,CONFIRMED,25A,True
B1408,P1870,SJ204,2025-07-29 11:37:36.951,CONFIRMED,12F,True
B1409,P1353,UK105,2026-03-24 11:37:36.951,CONFIRMED,28C,True
B1410,P1985,AI098,2026-04-13 11:37:36.951,CONFIRMED,32C,True
B1411,P1657,6E013,2025-10-12 11:37:36.951,CANCELLED,1A,True
B1412,P1596,6E128,2025-11-18 11:37:36.951,CANCELLED,28E,True
B1414,P1615,SJ182,2026-01-07 11:37:36.951,CONFIRMED,25F,True
B1415,P1947,6E199,2026-03-22 11:37:36.951,PENDING,23B,True
B1416,P1557,SJ187,2025-08-17 11:37:36.951,CANCELLED,20B,True
B1417,P1555,AI182,2025-08-18 11:37:36.951,PENDING,8E,True
B1418,P1277,SJ027,2025-05-04 11:37:36.951,PENDING,19D,True
B1419,P1692,SJ062,2026-01-20 11:37:36.951,CONFIRMED,20E,True
B1420,P1698,SJ161,2026-02-24 11:37:36.951,CONFIRMED,27B,True
B1422,P1625,AI181,2026-01-04 11:37:36.951,CANCELLED,12D,True
B1423,P1490,AI003,2025-06-12 11:37:36.951,CONFIRMED,14A,True
B1424,P1254,6E150,2025-11-05 11:37:36.951,CANCELLED,11D,True
B1425,P1380,SJ175,2025-06-28 11:37:36.951,CANCELLED,34E,True
B1426,P1891,6E041,2025-12-15 11:37:36.951,CANCELLED,17C,True
B1427,P1541,SJ040,2026-04-15 11:37:36.951,CANCELLED,16E,True
B1428,P1263,6E020,2025-06-17 11:37:36.951,CONFIRMED,27C,True
B1429,P1609,AI248,2025-05-08 11:37:36.951,CANCELLED,27B,True
B1430,P1824,SJ016,2026-02-08 11:37:36.951,CONFIRMED,11A,True
B1431,P1878,UK204,2025-11-21 11:37:36.951,CONFIRMED,31C,True
B1432,P1328,6E211,2025-09-02 11:37:36.951,CANCELLED,9B,True
B1433,P1114,SJ166,2025-05-07 11:37:36.951,CONFIRMED,5B,True
B1434,P1275,AI036,2025-10-19 11:37:36.951,PENDING,30C,True
B1435,P1487,SJ215,2025-09-18 11:37:36.951,CONFIRMED,1E,True
B1436,P1280,AI076,2026-01-05 11:37:36.951,CONFIRMED,20B,True
B1437,P1274,SJ012,2025-11-28 11:37:36.951,CANCELLED,24A,True
B1439,P1842,SJ173,2025-11-09 11:37:36.951,CONFIRMED,27E,True
B1440,P1718,AI193,2026-03-09 11:37:36.951,CANCELLED,25E,True
B1442,P1327,AI225,2025-06-02 11:37:36.951,PENDING,11E,True
B1443,P1210,AI190,2025-10-09 11:37:36.951,CANCELLED,9E,True
B1444,P1726,SJ238,2025-12-25 11:37:36.951,CONFIRMED,7B,True
B1445,P1922,6E005,2025-12-21 11:37:36.951,PENDING,5F,True
B1446,P1551,UK136,2025-09-25 11:37:36.951,PENDING,23C,True
B1447,P1991,SJ063,2025-05-21 11:37:36.951,CONFIRMED,15F,True
B1448,P1025,6E175,2025-11-21 11:37:36.951,CANCELLED,9E,True
B1449,P1026,AI037,2025-05-23 11:37:36.951,PENDING,19A,True
B1450,P1701,UK225,2025-11-11 11:37:36.951,CONFIRMED,21C,True
B1451,P1082,AI141,2025-05-20 11:37:36.951,CONFIRMED,15E,True
B1452,P1895,6E172,2026-01-26 11:37:36.951,PENDING,3E,True
B1453,P1945,6E219,2026-02-07 11:37:36.951,CANCELLED,16F,True
B1454,P1681,AI045,2025-08-16 11:37:36.951,PENDING,8E,True
B1455,P1412,AI198,2026-04-12 11:37:36.951,CONFIRMED,30A,True
B1456,P1166,AI120,2025-04-24 11:37:36.951,PENDING,17F,True
B1457,P1699,6E134,2025-06-11 11:37:36.951,CANCELLED,32D,True
B1458,P1168,UK102,2025-11-19 11:37:36.951,CONFIRMED,10B,True
B1459,P1800,SJ199,2025-06-10 11:37:36.951,CANCELLED,1F,True
B1460,P1978,6E235,2025-10-01 11:37:36.951,PENDING,32E,True
B1461,P1228,UK065,2025-10-14 11:37:36.951,PENDING,33F,True
B1462,P1978,6E135,2025-12-03 11:37:36.951,CANCELLED,26D,True
B1463,P1608,SJ148,2026-02-10 11:37:36.951,PENDING,31C,True
B1464,P1366,AI083,2026-03-07 11:37:36.951,CANCELLED,6B,True
B1465,P1527,UK024,2025-07-02 11:37:36.951,PENDING,5C,True
B1466,P1790,UK220,2025-04-27 11:37:36.951,CANCELLED,28B,True
B1467,P1646,UK115,2025-04-30 11:37:36.951,CANCELLED,25A,True
B1468,P1537,AI255,2025-07-16 11:37:36.951,CONFIRMED,14F,True
B1469,P1863,6E001,2025-12-25 11:37:36.951,CONFIRMED,11A,True
B1470,P1523,6E132,2025-05-27 11:37:36.951,CANCELLED,24E,True
B1471,P1071,UK184,2026-03-28 11:37:36.951,PENDING,8E,True
B1472,P1644,6E098,2025-06-06 11:37:36.951,PENDING,3D,True
B1473,P1105,SJ168,2025-07-19 11:37:36.951,PENDING,21F,True
B1474,P1731,SJ178,2025-07-28 11:37:36.951,CANCELLED,14C,True
B1475,P1884,UK111,2026-03-07 11:37:36.951,CANCELLED,2C,True
B1476,P1964,SJ051,2026-02-27 11:37:36.951,CANCELLED,32E,True
B1477,P1688,SJ193,2025-07-06 11:37:36.951,CANCELLED,18E,True
B1478,P1281,SJ039,2026-02-24 11:37:36.951,CONFIRMED,28D,True
B1479,P1132,UK066,2025-12-17 11:37:36.951,CANCELLED,22B,True
B1480,P1533,SJ050,2026-03-14 11:37:36.951,PENDING,34B,True
B1481,P1974,6E052,2025-06-11 11:37:36.951,CONFIRMED,4D,True
B1482,P1268,SJ170,2025-08-29 11:37:36.951,PENDING,14E,True
B1484,P1672,AI219,2025-05-07 11:37:36.951,CONFIRMED,13B,True
B1485,P1618,6E220,2025-07-05 11:37:36.951,CANCELLED,12D,True
B1486,P1790,AI207,2025-05-04 11:37:36.951,CONFIRMED,3D,True
B1487,P1864,6E024,2026-01-26 11:37:36.951,PENDING,5E,True
B1488,P1746,SJ073,2025-05-04 11:37:36.951,CANCELLED,27E,True
B1489,P1017,SJ201,2025-07-08 11:37:36.951,CANCELLED,24F,True
B1490,P1753,AI180,2026-03-10 11:37:36.951,CONFIRMED,29B,True
B1491,P1116,UK022,2025-07-16 11:37:36.951,CONFIRMED,18F,True
B1492,P1797,AI202,2026-03-27 11:37:36.951,CANCELLED,29C,True
B1493,P1793,6E212,2025-06-01 11:37:36.952,CONFIRMED,26D,True
B1494,P1143,6E163,2025-06-09 11:37:36.952,CANCELLED,23F,True
B1495,P1716,UK028,2025-10-15 11:37:36.952,CONFIRMED,27D,True
B1496,P1550,6E243,2026-03-21 11:37:36.952,PENDING,7D,True
B1497,P1928,AI165,2025-09-02 11:37:36.952,CONFIRMED,11F,True
B1498,P1665,UK099,2025-07-18 11:37:36.952,PENDING,3D,True
B1500,P1960,UK056,2025-04-30 11:37:36.952,CONFIRMED,22D,True
B1501,P1752,SJ122,2025-09-04 11:37:36.952,CANCELLED,23D,True
B1502,P1421,AI086,2025-10-15 11:37:36.952,CONFIRMED,23F,True
B1503,P1897,SJ011,2025-10-17 11:37:36.952,CONFIRMED,25C,True
B1504,P1368,SJ021,2025-04-21 11:37:36.952,PENDING,4E,True
B1505,P1645,SJ106,2025-11-29 11:37:36.952,CONFIRMED,8F,True
B1506,P1557,SJ026,2026-01-29 11:37:36.952,CANCELLED,9E,True
B1507,P1049,SJ245,2025-11-27 11:37:36.952,PENDING,20A,True
B1509,P1105,AI032,2025-09-25 11:37:36.952,CANCELLED,14F,True
B1510,P1215,AI236,2025-05-11 11:37:36.952,CANCELLED,19F,True
B1511,P1657,6E094,2025-12-24 11:37:36.952,CANCELLED,15C,True
B1512,P1922,UK163,2025-12-21 11:37:36.952,PENDING,4A,True
B1513,P1424,UK163,2025-06-30 11:37:36.952,CONFIRMED,32B,True
B1514,P1071,SJ045,2025-05-07 11:37:36.952,CANCELLED,21E,True
B1515,P1987,SJ006,2025-07-06 11:37:36.952,PENDING,26A,True
B1516,P1841,SJ103,2025-08-05 11:37:36.952,CANCELLED,34F,True
B1519,P1445,SJ064,2026-03-25 11:37:36.952,PENDING,3C,True
B1520,P1924,AI028,2026-04-02 11:37:36.952,CONFIRMED,27A,True
B1521,P1185,AI148,2025-11-08 11:37:36.952,PENDING,31E,True
B1522,P1069,6E263,2025-08-31 11:37:36.952,CONFIRMED,1C,True
B1523,P1973,SJ067,2025-05-19 11:37:36.952,PENDING,21F,True
B1524,P1149,6E061,2025-06-17 11:37:36.952,PENDING,23D,True
B1526,P1773,SJ136,2025-11-15 11:37:36.952,CONFIRMED,17D,True
B1527,P1537,AI046,2025-07-09 11:37:36.952,PENDING,8A,True
B1528,P1934,UK174,2026-03-28 11:37:36.952,PENDING,6E,True
B1531,P1909,6E063,2026-04-01 11:37:36.952,PENDING,30F,True
B1532,P1277,UK118,2025-04-22 11:37:36.952,PENDING,30A,True
B1533,P1562,UK218,2025-09-15 11:37:36.952,PENDING,28D,True
B1534,P1662,UK031,2025-09-11 11:37:36.952,CONFIRMED,34E,True
B1535,P1943,UK142,2026-04-02 11:37:36.952,PENDING,6C,True
B1537,P1103,UK070,2025-10-08 11:37:36.952,CONFIRMED,21F,True
B1538,P1945,SJ121,2026-03-17 11:37:36.952,PENDING,8E,True
B1539,P1600,UK201,2025-06-11 11:37:36.952,CONFIRMED,20B,True
B1540,P1652,AI138,2026-01-15 11:37:36.952,CANCELLED,7E,True
B1541,P1724,SJ014,2025-12-16 11:37:36.952,CONFIRMED,26A,True
B1542,P1232,SJ053,2025-12-13 11:37:36.952,PENDING,14F,True
B1543,P1393,SJ241,2025-06-16 11:37:36.952,CANCELLED,4F,True
B1544,P1500,AI249,2025-09-01 11:37:36.952,CANCELLED,16A,True
B1545,P1694,AI176,2026-03-08 11:37:36.952,PENDING,8A,True
B1546,P1250,SJ234,2026-04-02 11:37:36.952,PENDING,32B,True
B1547,P1520,6E115,2025-04-18 11:37:36.952,PENDING,16C,True
B1548,P1078,AI020,2025-10-04 11:37:36.952,CONFIRMED,7E,True
B1549,P1051,AI020,2025-12-16 11:37:36.952,CONFIRMED,24A,True
B1550,P1897,6E079,2025-12-06 11:37:36.952,CONFIRMED,10D,True
B1552,P1780,UK046,2026-02-06 11:37:36.952,PENDING,32D,True
B1553,P1225,SJ217,2025-11-15 11:37:36.952,CONFIRMED,33D,True
B1554,P1050,6E142,2025-08-26 11:37:36.952,CANCELLED,8D,True
B1555,P1185,SJ139,2026-04-04 11:37:36.952,CONFIRMED,3B,True
B1556,P1033,6E059,2026-01-18 11:37:36.952,CANCELLED,31D,True
B1557,P1802,6E067,2025-08-10 11:37:36.952,PENDING,17A,True
B1558,P1741,AI007,2025-08-07 11:37:36.952,PENDING,27A,True
B1559,P1130,UK202,2026-01-20 11:37:36.952,CONFIRMED,5F,True
B1560,P1631,AI200,2026-03-07 11:37:36.952,CONFIRMED,18C,True
B1561,P1442,UK172,2026-01-27 11:37:36.952,PENDING,18C,True
B1562,P1837,6E214,2025-05-01 11:37:36.952,CONFIRMED,10B,True
B1563,P1758,UK037,2025-09-11 11:37:36.952,PENDING,27B,True
B1564,P1431,AI022,2025-08-14 11:37:36.952,PENDING,17F,True
B1565,P1703,AI243,2026-02-06 11:37:36.952,CANCELLED,20D,True
B1566,P1496,SJ174,2025-10-08 11:37:36.952,CONFIRMED,29F,True
B1567,P1402,SJ079,2025-11-13 11:37:36.952,PENDING,9A,True
B1568,P1322,UK097,2025-12-21 11:37:36.952,CONFIRMED,21A,True
B1569,P1209,AI013,2025-12-26 11:37:36.952,CANCELLED,14E,True
B1570,P1614,UK196,2025-11-21 11:37:36.952,CANCELLED,25E,True
B1571,P1328,SJ213,2025-11-06 11:37:36.952,CONFIRMED,2C,True
B1572,P1371,UK119,2025-05-26 11:37:36.952,CONFIRMED,5D,True
B1573,P1459,AI043,2026-03-18 11:37:36.952,PENDING,19B,True
B1574,P1132,AI043,2025-04-29 11:37:36.952,CANCELLED,18A,True
B1575,P1834,AI143,2025-06-16 11:37:36.952,CANCELLED,2B,True
B1577,P1120,6E050,2026-01-24 11:37:36.952,CONFIRMED,23A,True
B1578,P1605,AI134,2025-12-25 11:37:36.952,PENDING,6B,True
B1579,P1451,6E182,2025-04-24 11:37:36.952,CONFIRMED,28E,True
B1580,P1964,SJ086,2025-10-08 11:37:36.952,CONFIRMED,20D,True
B1581,P1128,6E170,2025-08-06 11:37:36.952,CONFIRMED,3D,True
B1582,P1090,UK168,2025-04-24 11:37:36.952,PENDING,34B,True
B1584,P1574,UK075,2025-04-28 11:37:36.952,CANCELLED,21C,True
B1585,P1028,6E233,2026-01-08 11:37:36.952,CANCELLED,1C,True
B1586,P1721,SJ143,2025-11-13 11:37:36.952,CANCELLED,25B,True
B1587,P1523,SJ246,2025-06-28 11:37:36.952,PENDING,34E,True
B1588,P1332,SJ247,2025-11-04 11:37:36.952,CONFIRMED,10B,True
B1589,P1296,UK157,2025-08-31 11:37:36.952,PENDING,3D,True
B1590,P1129,UK069,2026-04-01 11:37:36.952,CONFIRMED,25B,True
B1591,P1292,AI106,2025-11-20 11:37:36.952,CANCELLED,8A,True
B1592,P1172,UK085,2025-11-17 11:37:36.952,CONFIRMED,24F,True
B1594,P1943,AI067,2025-06-01 11:37:36.952,CONFIRMED,25E,True
B1595,P1023,6E226,2026-01-07 11:37:36.952,PENDING,4E,True
B1596,P1098,SJ210,2025-12-20 11:37:36.952,CONFIRMED,15E,True
B1597,P1405,6E269,2025-10-23 11:37:36.952,CONFIRMED,33A,True
B1598,P1355,UK013,2026-01-02 11:37:36.952,CONFIRMED,11B,True
B1599,P1138,UK013,2025-09-30 11:37:36.952,PENDING,9E,True
B1600,P1502,UK143,2025-07-20 11:37:36.952,PENDING,2C,True
B1601,P1825,6E262,2025-09-07 11:37:36.952,PENDING,28D,True
B1603,P1028,SJ118,2025-12-06 11:37:36.952,CANCELLED,17E,True
B1604,P1930,SJ118,2025-11-17 11:37:36.952,CANCELLED,3C,True
B1605,P1495,SJ082,2025-10-03 11:37:36.952,CANCELLED,6C,True
B1606,P1654,6E015,2025-07-18 11:37:36.952,CONFIRMED,23E,True
B1608,P1350,SJ110,2025-06-28 11:37:36.952,CANCELLED,10B,True
B1609,P1553,SJ042,2025-10-21 11:37:36.952,CANCELLED,19D,True
B1610,P1298,6E145,2025-10-13 11:37:36.952,CONFIRMED,27A,True
B1611,P1719,UK029,2026-01-05 11:37:36.952,CANCELLED,14C,True
B1612,P1841,SJ200,2025-04-18 11:37:36.952,CANCELLED,28C,True
B1613,P1944,SJ209,2026-01-29 11:37:36.952,CONFIRMED,6A,True
B1615,P1671,6E117,2025-05-23 11:37:36.952,CANCELLED,33B,True
B1616,P1063,SJ181,2025-12-23 11:37:36.952,PENDING,17A,True
B1618,P1769,AI070,2026-01-19 11:37:36.952,CONFIRMED,1B,True
B1619,P1663,UK042,2026-02-05 11:37:36.952,PENDING,13A,True
B1620,P1214,AI169,2026-02-24 11:37:36.952,PENDING,1B,True
B1621,P1833,6E021,2025-12-21 11:37:36.952,PENDING,27A,True
B1622,P1165,SJ046,2025-06-23 11:37:36.952,PENDING,19F,True
B1623,P1542,AI211,2025-08-17 11:37:36.952,CANCELLED,22B,True
B1624,P1882,SJ091,2025-12-20 11:37:36.952,CANCELLED,34F,True
B1625,P1231,AI123,2026-04-05 11:37:36.952,PENDING,7D,True
B1626,P1793,6E053,2025-04-17 11:37:36.952,CANCELLED,25C,True
B1627,P1540,UK012,2026-01-09 11:37:36.952,PENDING,27E,True
B1628,P1194,6E023,2025-11-25 11:37:36.952,PENDING,33A,True
B1629,P1505,AI250,2026-01-02 11:37:36.952,CONFIRMED,11A,True
B1630,P1333,AI238,2026-04-07 11:37:36.952,PENDING,26F,True
B1631,P1767,UK096,2026-02-17 11:37:36.952,CANCELLED,24F,True
B1632,P1792,UK126,2026-03-30 11:37:36.952,PENDING,1D,True
B1633,P1303,SJ195,2025-08-30 11:37:36.952,CONFIRMED,8E,True
B1634,P1832,SJ171,2025-12-25 11:37:36.952,CANCELLED,1C,True
B1636,P1322,SJ192,2025-05-27 11:37:36.952,CONFIRMED,22B,True
B1637,P1501,6E035,2025-12-01 11:37:36.952,PENDING,27C,True
B1638,P1857,UK088,2026-02-23 11:37:36.952,CONFIRMED,22C,True
B1639,P1913,6E009,2025-09-14 11:37:36.952,CONFIRMED,24E,True
B1640,P1392,6E004,2026-01-28 11:37:36.952,CANCELLED,30B,True
B1642,P1598,AI251,2026-02-15 11:37:36.952,PENDING,4E,True
B1643,P1148,AI027,2026-02-04 11:37:36.952,PENDING,14A,True
B1644,P1760,SJ165,2025-10-20 11:37:36.952,PENDING,20E,True
B1645,P1832,UK081,2025-08-16 11:37:36.952,CONFIRMED,17D,True
B1646,P1404,UK191,2025-09-27 11:37:36.952,CANCELLED,28C,True
B1647,P1282,SJ188,2025-11-06 11:37:36.952,PENDING,14F,True
B1648,P1361,6E016,2025-08-09 11:37:36.952,CONFIRMED,33D,True
B1649,P1378,6E064,2026-04-05 11:37:36.952,PENDING,4F,True
B1651,P1555,SJ054,2025-09-09 11:37:36.952,CANCELLED,21B,True
B1652,P1355,6E197,2025-12-19 11:37:36.952,PENDING,23C,True
B1653,P1539,AI040,2026-03-26 11:37:36.952,CANCELLED,31B,True
B1655,P1016,6E141,2025-10-09 11:37:36.952,PENDING,7D,True
B1656,P1638,UK035,2025-05-12 11:37:36.952,CONFIRMED,26E,True
B1657,P1378,AI005,2025-08-28 11:37:36.952,CONFIRMED,12B,True
B1658,P1679,AI001,2025-06-22 11:37:36.952,CONFIRMED,18D,True
B1659,P1505,UK211,2026-01-17 11:37:36.952,PENDING,6D,True
B1660,P1755,SJ189,2026-04-04 11:37:36.952,CANCELLED,12D,True
B1661,P1898,UK006,2025-04-21 11:37:36.952,PENDING,18D,True
B1662,P1075,6E189,2025-10-13 11:37:36.952,CONFIRMED,17A,True
B1663,P1230,AI133,2025-05-16 11:37:36.952,CANCELLED,15B,True
B1664,P1715,SJ216,2025-11-08 11:37:36.952,CONFIRMED,25B,True
B1665,P1961,SJ133,2026-03-04 11:37:36.952,CANCELLED,29D,True
B1666,P1247,UK082,2026-03-05 11:37:36.952,PENDING,32C,True
B1667,P1301,6E136,2026-02-16 11:37:36.952,CANCELLED,32C,True
B1668,P1725,6E039,2025-04-30 11:37:36.952,PENDING,3B,True
B1669,P1214,AI011,2025-06-16 11:37:36.952,CONFIRMED,3E,True
B1670,P1157,SJ225,2025-05-12 11:37:36.952,CANCELLED,16C,True
B1671,P1068,SJ024,2025-07-08 11:37:36.952,CONFIRMED,22C,True
B1672,P1392,AI109,2025-08-01 11:37:36.952,CANCELLED,14E,True
B1674,P1266,UK057,2025-11-03 11:37:36.952,CANCELLED,18C,True
B1675,P1068,6E111,2025-08-01 11:37:36.952,CANCELLED,9A,True
B1676,P1610,AI197,2026-04-14 11:37:36.952,PENDING,24C,True
B1677,P1346,UK127,2026-01-31 11:37:36.952,PENDING,29C,True
B1678,P1961,6E240,2025-12-31 11:37:36.952,PENDING,24B,True
B1679,P1727,6E257,2025-08-17 11:37:36.952,CANCELLED,25A,True
B1681,P1672,SJ135,2026-04-02 11:37:36.952,CANCELLED,15C,True
B1682,P1422,UK112,2025-07-10 11:37:36.952,CANCELLED,20B,True
B1683,P1605,AI050,2025-08-07 11:37:36.952,CONFIRMED,9C,True
B1684,P1173,UK060,2025-11-18 11:37:36.952,PENDING,8E,True
B1685,P1676,SJ183,2025-05-15 11:37:36.952,CANCELLED,25E,True
B1686,P1114,UK138,2025-11-17 11:37:36.952,CONFIRMED,23E,True
B1687,P1219,SJ071,2025-10-12 11:37:36.952,PENDING,22F,True
B1688,P1955,AI057,2025-06-14 11:37:36.952,PENDING,9D,True
B1689,P1030,SJ151,2025-07-10 11:37:36.952,CANCELLED,20B,True
B1690,P1522,SJ144,2025-06-28 11:37:36.952,PENDING,12C,True
B1691,P1342,SJ087,2026-01-23 11:37:36.952,PENDING,12E,True
B1692,P1376,SJ066,2026-04-02 11:37:36.952,CONFIRMED,18A,True
B1693,P1129,AI247,2026-01-02 11:37:36.952,CONFIRMED,11F,True
B1694,P1999,SJ102,2026-04-01 11:37:36.952,PENDING,24D,True
B1695,P1616,6E252,2026-04-13 11:37:36.952,CONFIRMED,4F,True
B1696,P1538,6E055,2025-11-28 11:37:36.952,PENDING,11C,True
B1697,P1738,AI204,2025-11-12 11:37:36.952,CANCELLED,34B,True
B1698,P1001,AI016,2026-02-02 11:37:36.952,CONFIRMED,31D,True
B1699,P1870,AI209,2025-12-11 11:37:36.952,PENDING,15D,True
B1700,P1100,SJ211,2026-01-04 11:37:36.952,PENDING,14B,True
B1701,P1532,6E103,2025-10-16 11:37:36.952,CONFIRMED,13F,True
B1702,P1057,UK182,2025-04-22 11:37:36.952,CONFIRMED,31F,True
B1703,P1388,6E264,2025-12-25 11:37:36.952,CANCELLED,19B,True
B1704,P1691,6E027,2025-07-23 11:37:36.952,PENDING,29A,True
B1705,P1940,UK198,2026-01-31 11:37:36.952,CANCELLED,3B,True
B1706,P1340,6E171,2025-09-07 11:37:36.952,CANCELLED,15C,True
B1707,P1860,AI004,2025-07-05 11:37:36.952,CANCELLED,1B,True
B1708,P1019,6E157,2025-11-22 11:37:36.952,CONFIRMED,3C,True
B1709,P1254,AI018,2025-10-03 11:37:36.952,CANCELLED,22B,True
B1710,P1316,UK098,2025-08-05 11:37:36.952,CONFIRMED,21E,True
B1712,P1659,AI228,2025-09-06 11:37:36.952,CANCELLED,17C,True
B1713,P1536,SJ242,2025-08-31 11:37:36.952,CANCELLED,17D,True
B1714,P1385,6E227,2025-12-11 11:37:36.952,PENDING,34C,True
B1715,P1632,6E037,2025-08-27 11:37:36.952,CANCELLED,20C,True
B1716,P1927,6E107,2025-12-22 11:37:36.952,PENDING,28A,True
B1717,P1025,SJ125,2025-11-06 11:37:36.952,CANCELLED,14A,True
B1718,P1453,UK117,2025-06-17 11:37:36.952,CANCELLED,9B,True
B1719,P1680,6E192,2025-11-12 11:37:36.952,CANCELLED,29E,True
B1720,P1322,AI201,2025-11-27 11:37:36.952,CANCELLED,27B,True
B1721,P1736,SJ126,2026-03-25 11:37:36.952,PENDING,21A,True
B1722,P1512,AI177,2026-02-10 11:37:36.952,PENDING,5E,True
B1723,P1818,AI092,2025-12-23 11:37:36.952,CANCELLED,26B,True
B1724,P1772,6E076,2025-10-10 11:37:36.952,CANCELLED,11D,True
B1725,P1012,AI185,2025-04-29 11:37:36.952,PENDING,1E,True
B1726,P1914,AI055,2025-05-14 11:37:36.952,CONFIRMED,2B,True
B1727,P1907,6E222,2026-03-15 11:37:36.952,CONFIRMED,27D,True
B1728,P1559,AI090,2025-12-12 11:37:36.952,CONFIRMED,1C,True
B1729,P1920,AI183,2025-06-03 11:37:36.952,PENDING,4F,True
B1730,P1824,AI041,2025-04-29 11:37:36.952,PENDING,25F,True
B1731,P1370,6E210,2025-07-12 11:37:36.952,CONFIRMED,25F,True
B1732,P1290,AI170,2026-01-15 11:37:36.952,CONFIRMED,3A,True
B1733,P1331,SJ008,2026-04-16 11:37:36.952,CANCELLED,2E,True
B1734,P1605,AI049,2025-09-29 11:37:36.952,PENDING,27E,True
B1735,P1260,SJ132,2025-05-12 11:37:36.952,PENDING,34E,True
B1736,P1993,SJ224,2026-01-26 11:37:36.952,CONFIRMED,28E,True
B1737,P1789,UK038,2025-06-11 11:37:36.952,CONFIRMED,1E,True
B1738,P1870,SJ220,2025-08-14 11:37:36.952,PENDING,27B,True
B1739,P1204,6E124,2025-06-29 11:37:36.952,CANCELLED,34F,True
B1740,P1696,SJ164,2025-11-16 11:37:36.952,CONFIRMED,14D,True
B1741,P1686,AI026,2025-05-18 11:37:36.952,PENDING,18E,True
B1742,P1949,6E144,2025-09-14 11:37:36.952,PENDING,16D,True
B1744,P1891,UK139,2025-09-05 11:37:36.952,CANCELLED,10A,True
B1745,P1820,UK139,2025-05-20 11:37:36.952,CONFIRMED,27B,True
B1746,P1467,SJ140,2025-08-31 11:37:36.952,CONFIRMED,34D,True
B1747,P1414,6E131,2025-04-20 11:37:36.952,CONFIRMED,9F,True
B1748,P1068,UK128,2025-11-15 11:37:36.952,PENDING,9A,True
B1749,P1471,SJ219,2026-02-19 11:37:36.952,CONFIRMED,23D,True
B1750,P1103,SJ159,2025-09-21 11:37:36.952,PENDING,33D,True
B1751,P1757,UK192,2025-09-19 11:37:36.952,CONFIRMED,17E,True
B1752,P1160,AI014,2025-08-13 11:37:36.952,CANCELLED,34F,True
B1753,P1199,SJ152,2025-08-08 11:37:36.952,CANCELLED,5C,True
B1754,P1215,SJ060,2026-02-11 11:37:36.952,PENDING,3C,True
B1755,P1945,AI127,2026-02-17 11:37:36.952,CANCELLED,10F,True
B1756,P1211,SJ096,2026-01-27 11:37:36.952,PENDING,11F,True
B1757,P1507,AI215,2025-04-24 11:37:36.952,PENDING,22B,True
B1758,P1015,UK009,2026-02-28 11:37:36.952,CANCELLED,26B,True
B1759,P1497,AI171,2025-10-26 11:37:36.952,PENDING,16F,True
B1760,P1883,UK151,2026-01-14 11:37:36.952,CANCELLED,31B,True
B1761,P1331,AI099,2025-05-22 11:37:36.952,CONFIRMED,15A,True
B1762,P1716,UK050,2025-06-04 11:37:36.952,CONFIRMED,32B,True
B1763,P1876,UK092,2025-10-06 11:37:36.952,CANCELLED,3B,True
B1764,P1550,SJ058,2025-06-20 11:37:36.952,CANCELLED,13B,True
B1765,P1600,SJ090,2025-12-21 11:37:36.952,CANCELLED,1C,True
B1766,P1941,6E173,2025-09-07 11:37:36.952,CANCELLED,1F,True
B1767,P1255,AI186,2025-11-19 11:37:36.952,CONFIRMED,6D,True
B1768,P1991,AI130,2026-03-23 11:37:36.952,PENDING,13C,True
B1770,P1727,6E203,2025-08-04 11:37:36.952,CONFIRMED,8D,True
B1771,P1879,6E138,2025-05-24 11:37:36.952,PENDING,1F,True
B1773,P1171,AI074,2026-01-01 11:37:36.952,PENDING,16E,True
B1774,P1648,UK161,2026-01-07 11:37:36.952,CANCELLED,1B,True
B1775,P1999,AI008,2025-06-19 11:37:36.952,CANCELLED,14B,True
B1776,P1497,UK121,2025-12-27 11:37:36.952,CANCELLED,17A,True
B1777,P1470,6E154,2025-04-26 11:37:36.952,CONFIRMED,11A,True
